Project,Species,PacBio?,10x?,HiC-Arima2?,HiC-Dovetail?,HiC-Qiagen?,Primary Assembly?
lepidoptera,Nymphalis_polychloros,Yes,Yes,Yes,No,No,Yes
lepidoptera,Phlogophora_meticulosa,Yes,Yes,No,No,No,Yes
lepidoptera,Biston_betularia,Yes,Yes,Yes,No,No,Yes
lepidoptera,Erynnis_tages,Yes,Yes,No,No,No,Yes
lepidoptera,Aporia_crataegi,Yes,Yes,Yes,No,No,Yes
lepidoptera,Amphipyra_tragopoginis,Yes,Yes,No,No,No,Yes
lepidoptera,Xestia_xanthographa,Yes,Yes,No,No,No,Yes
lepidoptera,Pheosia_tremula,Yes,Yes,Yes,No,No,Yes
lepidoptera,Tinea_trinotella,Yes,Yes,Yes,No,No,Yes
lepidoptera,Nymphalis_urticae,Yes,Yes,No,No,No,Yes
lepidoptera,Pieris_brassicae,Yes,Yes,No,No,Yes,Yes
lepidoptera,Ptilodon_capucinus,Yes,Yes,Yes,No,No,Yes
lepidoptera,Apotomis_turbidana,Yes,Yes,Yes,No,No,Yes
lepidoptera,Habrosyne_pyritoides,Yes,Yes,Yes,No,No,Yes
lepidoptera,Anthocharis_cardamines,Yes,Yes,No,No,Yes,Yes
lepidoptera,Noctua_fimbriata,Yes,Yes,Yes,No,No,Yes
lepidoptera,Vanessa_atalanta,Yes,Yes,No,No,No,Yes
lepidoptera,Eilema_depressum,Yes,Yes,Yes,No,No,Yes
lepidoptera,Mimas_tiliae,Yes,Yes,Yes,No,No,Yes
lepidoptera,Omphaloscelis_lunosa,Yes,Yes,Yes,No,No,Yes
lepidoptera,Hydraecia_micacea,Yes,Yes,Yes,No,No,Yes
lepidoptera,Aphantopus_hyperantus,Yes,Yes,No,No,No,No
lepidoptera,Manduca_sexta,No,No,No,No,No,No
lepidoptera,Hesperia_comma,Yes,Yes,Yes,No,No,Yes
lepidoptera,Campaea_margaritaria,Yes,Yes,Yes,No,No,Yes
lepidoptera,Eueides_isabella,No,No,No,No,No,No
lepidoptera,Lymantria_monacha,Yes,Yes,No,No,Yes,Yes
lepidoptera,Mesoligia_furuncula,Yes,Yes,Yes,No,No,Yes
lepidoptera,Dryas_iulia_moderata,No,No,No,No,No,No
lepidoptera,Maniola_jurtina,Yes,Yes,No,No,Yes,Yes
lepidoptera,Colias_croceus,Yes,Yes,Yes,No,No,Yes
lepidoptera,Agrochola_circellaris,Yes,Yes,Yes,No,No,Yes
lepidoptera,Hylaea_fasciaria,Yes,Yes,Yes,No,No,Yes
lepidoptera,Ypsolopha_scabrella,Yes,Yes,Yes,No,No,Yes
lepidoptera,Blastobasis_lacticolella,Yes,Yes,No,No,No,Yes
lepidoptera,Vanessa_cardui,Yes,Yes,No,No,No,Yes
lepidoptera,Griposia_aprilina,Yes,Yes,Yes,No,No,Yes
lepidoptera,Spodoptera_litura,No,No,No,No,No,No
lepidoptera,Blastobasis_adustella,Yes,Yes,Yes,No,No,Yes
lepidoptera,Mellicta_athalia,Yes,Yes,No,No,No,Yes
lepidoptera,Xestia_c-nigrum,Yes,Yes,Yes,No,No,Yes
lepidoptera,Limenitis_camilla,Yes,Yes,No,No,No,Yes
lepidoptera,Eilema_sororcula,Yes,Yes,Yes,No,No,Yes
lepidoptera,Ephestia_elutella,No,No,No,No,No,No
lepidoptera,Carcina_quercana,Yes,Yes,Yes,No,No,Yes
lepidoptera,Inachis_io,Yes,Yes,No,No,No,Yes
lepidoptera,Erannis_defoliaria,Yes,Yes,No,No,No,Yes
lepidoptera,Clostera_curtula,Yes,Yes,Yes,No,No,Yes
lepidoptera,Orgyia_antiqua,Yes,Yes,Yes,No,No,Yes
lepidoptera,Notodonta_dromedarius,Yes,Yes,No,No,No,Yes
lepidoptera,Zeuzera_pyrina,Yes,Yes,Yes,No,No,Yes
lepidoptera,Autographa_pulchrina,Yes,Yes,Yes,No,No,Yes
lepidoptera,Notocelia_uddmanniana,Yes,Yes,No,No,Yes,Yes
lepidoptera,Parapoynx_stratiotata,Yes,Yes,Yes,No,No,Yes
lepidoptera,Lycaena_phlaeas,Yes,Yes,Yes,No,No,Yes
lepidoptera,Zerene_cesonia,No,No,No,No,No,No
lepidoptera,Phalera_bucephala,Yes,Yes,No,No,Yes,No
lepidoptera,Mythimna_impura,Yes,Yes,No,No,Yes,Yes
lepidoptera,Ochropleura_plecta,Yes,Yes,Yes,No,No,Yes
lepidoptera,Hydriomena_furcata,Yes,Yes,Yes,No,No,Yes
lepidoptera,Furcula_furcula,Yes,Yes,Yes,No,No,Yes
lepidoptera,Carposina_sasakii,No,No,No,No,No,No
lepidoptera,Ectropis_grisescens,No,No,No,No,No,No
lepidoptera,Bombyx_mori,No,No,No,No,No,No
lepidoptera,Plebejus_argus,Yes,Yes,No,No,No,Yes
lepidoptera,Pammene_fasciana,Yes,Yes,Yes,No,No,Yes
lepidoptera,Idaea_aversata,Yes,Yes,Yes,No,No,Yes
lepidoptera,Laspeyria_flexula,Yes,Yes,No,No,No,Yes
lepidoptera,Abrostola_tripartita,Yes,Yes,Yes,No,No,Yes
lepidoptera,Craniophora_ligustri,Yes,Yes,Yes,No,No,Yes
lepidoptera,Emmelina_monodactyla,Yes,Yes,Yes,No,No,Yes
lepidoptera,Ennomos_quercinarius,Yes,Yes,Yes,No,No,Yes
lepidoptera,Cyaniris_semiargus,Yes,Yes,No,No,No,Yes
lepidoptera,Lysandra_coridon,Yes,Yes,Yes,No,No,Yes
lepidoptera,Euproctis_similis,Yes,Yes,No,No,Yes,Yes
lepidoptera,Apamea_monoglypha,Yes,Yes,Yes,No,No,Yes
lepidoptera,Mythimna_ferrago,Yes,Yes,Yes,No,No,Yes
lepidoptera,Schrankia_costaestrigalis,Yes,Yes,Yes,No,No,Yes
lepidoptera,Chrysoteuchia_culmella,Yes,Yes,Yes,No,No,Yes
lepidoptera,Spodoptera_frugiperda,No,No,No,No,No,No
lepidoptera,Mamestra_brassicae,Yes,Yes,Yes,No,No,Yes
lepidoptera,Endotricha_flammealis,Yes,Yes,No,No,No,Yes
lepidoptera,Thyatira_batis,Yes,Yes,No,No,No,Yes
lepidoptera,Lysandra_bellargus,Yes,Yes,Yes,No,No,Yes
lepidoptera,Pieris_napi,Yes,Yes,No,No,No,Yes
lepidoptera,Hemaris_fuciformis,Yes,Yes,No,No,No,No
lepidoptera,Cnaphalocrocis_exigua,No,No,No,No,No,No
lepidoptera,Bembecia_ichneumoniformis,Yes,Yes,Yes,No,No,Yes
lepidoptera,Danaus_plexippus_plexippus,No,No,No,No,No,No
lepidoptera,Erebia_ligea,Yes,Yes,No,No,No,Yes
lepidoptera,Amphipyra_berbera,Yes,Yes,Yes,No,No,Yes
lepidoptera,Agriopis_aurantiaria,Yes,Yes,Yes,No,No,Yes
lepidoptera,Ochlodes_sylvanus,Yes,Yes,Yes,No,No,Yes
lepidoptera,Zygaena_filipendulae,Yes,Yes,Yes,No,No,Yes
lepidoptera,Dendrolimus_punctatus,No,No,No,No,No,No
lepidoptera,Hypena_proboscidalis,Yes,Yes,No,No,Yes,Yes
